Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
276,"20240906","20180601","107","南投縣","10008","縣有土地","2.387","176"
277,"20240906","20180601","107","南投縣","10008","鄉有土地","3.664","93"
278,"20240906","20180601","107","南投縣","10008","公有土地","21821.044","26772"
279,"20240906","20180601","107","南投縣","10008","其他單位","",""
280,"20240906","20180601","107","南投縣","10008","所有權部總計","",""
281,"20240906","20180601","107","嘉義縣","10010","私有保留地","4505.067","8424"
282,"20240906","20180601","107","嘉義縣","10010","國有土地","2105.769","2194"
283,"20240906","20180601","107","嘉義縣","10010","省有土地","0","0"
284,"20240906","20180601","107","嘉義縣","10010","縣有土地","5.714","66"
285,"20240906","20180601","107","嘉義縣","10010","鄉有土地","0.21","15"
286,"20240906","20180601","107","嘉義縣","10010","公有土地","2111.693","2275"
287,"20240906","20180601","107","嘉義縣","10010","其他單位","",""
288,"20240906","20180601","107","嘉義縣","10010","所有權部總計","",""
289,"20240906","20180601","107","屏東縣","10013","私有保留地","34439.253","84072"
290,"20240906","20180601","107","屏東縣","10013","國有土地","33803.024","33846"
291,"20240906","20180601","107","屏東縣","10013","省有土地","0","0"
292,"20240906","20180601","107","屏東縣","10013","縣有土地","8.014","263"
293,"20240906","20180601","107","屏東縣","10013","鄉有土地","3.302","84"
294,"20240906","20180601","107","屏東縣","10013","公有土地","33814.34","34193"
295,"20240906","20180601","107","屏東縣","10013","其他單位","",""
296,"20240906","20180601","107","屏東縣","10013","所有權部總計","",""
297,"20240906","20180601","107","花蓮縣","10015","私有保留地","13408.09","57899"
298,"20240906","20180601","107","花蓮縣","10015","國有土地","16947.819","27602"
299,"20240906","20180601","107","花蓮縣","10015","省有土地","0","0"
300,"20240906","20180601","107","花蓮縣","10015","縣有土地","31.438","412"
301,"20240906","20180601","107","花蓮縣","10015","鄉有土地","13.168","98"
302,"20240906","20180601","107","花蓮縣","10015","公有土地","16992.425","28112"
303,"20240906","20180601","107","花蓮縣","10015","其他單位","",""
304,"20240906","20180601","107","花蓮縣","10015","所有權部總計","",""
305,"20240906","20180601","107","臺東縣","10014","私有保留地","17048.553","44695"
306,"20240906","20180601","107","臺東縣","10014","國有土地","31020.293","31652"
307,"20240906","20180601","107","臺東縣","10014","省有土地","0","0"
308,"20240906","20180601","107","臺東縣","10014","縣有土地","52.312","549"
309,"20240906","20180601","107","臺東縣","10014","鄉有土地","16.095","224"
310,"20240906","20180601","107","臺東縣","10014","公有土地","31088.7","32425"
311,"20240906","20180601","107","臺東縣","10014","其他單位","",""
